Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
1999_04_30,1999,4,30,7.230769231,0,0,0,28.025,32.7,25.12,6.78,26.6
1999_05_01,1999,5,1,0.75,0,0,0,28.075,32.24,25.06,6.58,24.5
1999_05_02,1999,5,2,0,0,0,0,28.925,33.62,25.34,7.62,32
1999_05_03,1999,5,3,1.826923077,0,0,0,28.925,33.58,24.86,7.94,27
1999_05_04,1999,5,4,0.011538462,0,0,0,28.925,34.88,24.74,7.92,32
1999_05_05,1999,5,5,18.96923077,0,0,0,27.075,34.04,23.86,7.46,38.2
1999_05_06,1999,5,6,14.26538462,0,0,0,27.2,34,23.64,7.44,32.4
1999_05_07,1999,5,7,9.419230769,0,0,0,27.5,32.98,24.28,6.42,29.2
1999_05_08,1999,5,8,14.5,0,0,0,25.65,27.42,23.82,4.9,25.2
1999_05_09,1999,5,9,0.873076923,0,0,0,26.725,31.28,23.84,4.62,31.7
1999_05_10,1999,5,10,17.28461538,0,0,0,27.025,30.92,23.92,7.94,31
1999_05_11,1999,5,11,0.365384615,0,0,0,26.3,28.58,23.54,4.5,28.8
1999_05_12,1999,5,12,3.303846154,0,0,0,27.4,32.54,24.6,9.38,31.7
1999_05_13,1999,5,13,0.326923077,0,0,0,28.25,33.12,25,6.18,30.6
1999_05_14,1999,5,14,7.396153846,0,0,0,28.575,33.84,24.7,6.24,21.6
1999_05_15,1999,5,15,29.16153846,0,0,0,26.825,29.96,23.76,7.32,43.2
1999_05_16,1999,5,16,7.869230769,0,0,0,26.825,31.14,24.36,7.54,32.8
1999_05_17,1999,5,17,1.061538462,0,0,0,27.525,31.42,24.48,8.24,32.4
1999_05_18,1999,5,18,9.311538462,0,0,0,26.425,29.02,24.58,5.12,22
1999_05_19,1999,5,19,5.315384615,0,0,0,27.975,32.6,24.58,8.68,25.9
1999_05_20,1999,5,20,0.023076923,0,0,0,27.55,32.64,24.86,8.06,33.1
1999_05_21,1999,5,21,28.92692308,0,0,0,25.875,30.74,23.58,5.64,28.8
1999_05_22,1999,5,22,3.626923077,0,0,0,27.45,32.08,24.28,6.68,24.8
1999_05_23,1999,5,23,13.63076923,0,0,0,26.45,28.9,23.96,6.98,26.6
1999_05_24,1999,5,24,11.52307692,0,0,0,27.75,31.66,24.24,9.76,33.5
1999_05_25,1999,5,25,5.773076923,0,0,0,27.475,31.94,23.36,11.48,41.4
1999_05_26,1999,5,26,0,0,0,0,27.2,32.58,23.2,5.5,19.8
1999_05_27,1999,5,27,1.476923077,0,0,0,27.925,32.48,25.1,6.22,25.6
1999_05_28,1999,5,28,4.230769231,0,0,0,27.65,32.52,24.52,6.7,26.3
1999_05_29,1999,5,29,0,0,0,0,28.5,32.26,25.34,7.82,23.8
1999_05_30,1999,5,30,0.007692308,0,0,0,29.475,33.68,26.34,8.62,29.9
1999_05_31,1999,5,31,0.338461538,0,0,0,28.85,33.28,25.76,8.06,31.7
1999_06_01,1999,6,1,6.419230769,0,0,0,28.65,32.56,25.56,8.92,36
1999_06_02,1999,6,2,0.207692308,0,0,0,28.625,32.26,25.68,10.3,35.3
1999_06_03,1999,6,3,0.115384615,0,0,0,28.625,32.56,25.2,10.1,33.5
1999_06_04,1999,6,4,0.85,0,0,0,27.925,32.22,24.54,8.08,32.4
1999_06_05,1999,6,5,0,0,0,0,27.75,31.56,24.48,8.32,25.2
1999_06_06,1999,6,6,0,0,0,0,28.325,33.16,24.36,8.26,29.5
1999_06_07,1999,6,7,0.676923077,0,0,0,27.875,32.2,25.34,6.48,25.2
1999_06_08,1999,6,8,15.66538462,0,0,0,27.65,33.06,24.56,8.5,34.2
1999_06_09,1999,6,9,8.780769231,0,0,0,27.4,31.04,24.46,6.24,34.2
1999_06_10,1999,6,10,1.738461538,0,0,0,27.85,32.98,24.62,8.84,43.2
1999_06_11,1999,6,11,14.27307692,0,0,0,27.475,33.22,24.64,7.78,35.3
1999_06_12,1999,6,12,10.72692308,0,0,0,26.025,27.84,23.9,5.68,27
1999_06_13,1999,6,13,0.926923077,0,0,0,27.325,30.52,24.56,6.62,22.7
1999_06_14,1999,6,14,16.77692308,0,0,0,25.75,30.2,22.88,8.7,55.8
